title,details_url,start_date,end_date,start_time,end_time,venue_text,category,host,location,address,nor_url,si_url,results_url,other_docs,description,contact,organiser,sas_event_id,external_host,external_event_id,is_past
Sonnet Nationals,https://www.sailing.org.za/events/268391,2025-01-10,2025-01-12,09:00,15:00,Hermanus Yacht Club,National Championships,,,,,,,,,,,268391,,,True
2025 DF95 EC Provincials,https://www.sailing.org.za/events/269214,2025-01-24,2025-01-26,09:00,16:00,North End Lake Qgeberha,Regional Championships,,,,,,,,,,,269214,,,True
SA Sailing Race Coach Training Program,https://www.sailing.org.za/events/260479,2025-01-24,2025-01-26,09:00,16:00,Milnerton Aquatic Club,Training,,,,,,,,,,,260479,,,True
SAS 2025 HMYC GRAND SLAM,https://www.hmyc.org.za/events/274945,2025-01-25,2025-01-26,08:00,17:00,Henley Midmar Yacht Club,Dinghy Event,,,,,,,,,,,,www_hmyc_org_za,274945,True
Port Owen River Race,https://www.sailing.org.za/events/264676,2025-01-25,2025-01-26,09:00,15:00,Port Owen Yacht Club,Keel Boat Event,,,,,,,,,,,264676,,,True
GIMCO Regatta,https://www.sailing.org.za/events/269202,2025-01-31,2025-02-02,09:00,16:00,Royal Cape Yacht Club,Keel Boat Event,,,,,,,,,,,269202,,,True
LDYC Round the Island Race,https://www.sailing.org.za/events/281183,2025-02-07,2025-02-09,08:00,15:00,Lake Deneys Yacht Club,,,,,,,,,,,,281183,,,True
KYC Interclub Regatta,https://www.sailing.org.za/events/277884,2025-02-08,2025-02-09,09:00,09:00,Knysna Yacht Club,,,,,,,,,,,,277884,,,True
Safety Boat Operators Course,https://www.sailing.org.za/events/276671,2025-02-10,2025-02-12,09:00,16:00,Sail Africa Youth Foundation,Training,,,,,,,,,,,276671,,,True
SA Sailing - Protest Committe Training,https://www.sailing.org.za/events/257322,2025-02-15,2025-02-16,09:00,15:00,Royal Natal Yacht Club,Regional Championships,,,,,,,,,,,257322,,,True
KZN Mirror Regional Championships,https://www.sailing.org.za/events/279801,2025-02-15,2025-02-16,08:00,15:00,Point Yacht Club,Regional Championships,,,,,,,,,,,279801,,,True
Club Race Officers Course,https://www.revolutionise.com.au/pretoriasc/events/281191,2025-02-15,2025-02-16,09:00,14:00,Pretoria Sailing Club,Training,,,,,,,,,,,,revolutionise,281191,True
HYC Cape Classic,https://www.sailing.org.za/events/247890,2025-02-15,2025-02-16,09:00,09:00,Hermanus Yacht Club,Dinghy Event,,,,,,,,,,,247890,,,True
Mykonos Offshore 2025,https://www.sailing.org.za/events/269203,2025-02-28,2025-03-01,09:00,16:00,Royal Cape Yacht Club,Training,,,,,,,,,,,269203,,,True
Safety Boat Operators Course,https://www.sailing.org.za/events/277876,2025-03-01,2025-03-02,09:00,16:00,Lake Deneys Yacht Club,Training,,,,,,,,,,,277876,,,True
2025 HMYC 9HR ENDURANCE RACE,https://www.hmyc.org.za/events/280287,2025-03-01,2025-03-01,08:00,17:30,Henley Midmar Yacht Club,Dinghy Event,,,,,,,,,,,,www_hmyc_org_za,280287,True
MBSC Inter-Club,https://www.sailing.org.za/events/243652,2025-03-08,2025-03-09,09:00,09:00,Mossel Bay Sailing Club,,,,,,,,,,,,243652,,,True
Cape 31,https://www.sailing.org.za/events/278531,2025-03-08,2025-03-09,09:00,09:00,Langebaan,Keel Boat Event,,,,,,,,,,,278531,,,True
National Race Officers Workshop,https://www.sailing.org.za/events/282930,2025-03-13,2025-03-13,17:30,19:30,Teams,,,,,,,,,,,,282930,,,True
2025 Interschools Gauteng Region Championship,https://www.sailing.org.za/events/343815,2025-03-15,2025-03-16,09:00,16:00,Victoria Lake Club,Interschools,,,,,,,,,,,343815,,,True
Hobie 14 WC Provincials,https://www.sailing.org.za/events/187166,2025-03-15,2025-03-16,08:00,15:00,Langebaan,Regional Championships,,,,,,,,,,,187166,,,True
Hunter 19 Mpumalanga Championship 2025,https://www.sailing.org.za/events/344413,2025-03-15,2025-03-16,09:00,09:00,Witbank Yacht Club,Regional Championships,,,,,,,,,,,344413,,,True
TSC 9 Hr,https://www.sailing.org.za/events/278528,2025-03-15,2025-03-15,09:00,17:00,Theewater Sports Club,Dinghy Event,,,,,,,,,,,278528,,,True
Hobie Tiger Nationals,https://www.sailing.org.za/events/187167,2025-03-20,2025-03-23,08:00,15:00,Langebaan,National Championships,,,,,,,,,,,187167,,,True
2025 Hunter 19 National Championships,https://www.sailing.org.za/events/277145,2025-03-20,2025-03-23,09:00,09:00,Witbank Yacht Club,National Championships,,,,,,,,,,,277145,,,True
KZN Mirror National Championships,https://www.sailing.org.za/events/279802,2025-03-21,2025-03-23,08:00,15:00,Point Yacht Club,National Championships,,,,,,,,,,,279802,,,True
2025 DABCHICK &amp; EXTRA WC CHAMPS,https://www.revolutionise.com.au/dabchickca/events/281593,2025-03-21,2025-03-23,12:00,14:00,Zeekoe Vlei Yacht Club,Regional Championships,,,,,,,,,,,,revolutionise,281593,True
Safety Boat Operators Course,https://www.sailing.org.za/events/288267,2025-03-22,2025-03-23,09:00,16:00,Henley Midmar Yacht Club,Training,,,,,,,,,,,288267,,,True
SA Sailing Safety Boat Operators,https://www.sailing.org.za/events/288265,2025-03-22,2025-03-23,09:00,15:00,Henley Midmar Yacht Club,National Championships,,,,,,,,,,,288265,,,True
SA Sailing Instructors Course - Dinghy endorsement,https://www.sailing.org.za/events/283021,2025-03-25,2025-03-28,09:00,16:00,Skipper Foundation,Training,,,,,,,,,,,283021,,,True
RRS Update Workshop,https://www.sailing.org.za/events/286361,2025-03-27,2025-03-27,18:00,19:00,Teams,,,,,,,,,,,,286361,,,True
SA Sailing Instructors Course - Keelboat endorsement,https://www.sailing.org.za/events/280323,2025-03-29,2025-04-01,09:00,16:30,Sail Africa Youth Foundation,Training,,,,,,,,,,,280323,,,True
