title,details_url,start_date,end_date,venue_text,category,host,location,address,nor_url,si_url,results_url,other_docs,description,contact,organiser,sas_event_id,external_host,external_event_id,is_past
Stadt 23 FS Regionals,https://www.sailing.org.za/events/233770,2024-07-27,2024-07-28,>Stadt 23 FS Regionals,,,,,,,,,,,,233770,,,True
SA Sailing KZN Grand slam regatta,https://www.sailing.org.za/events/223326,2024-08-03,2024-08-04,>SA Sailing KZN Grand slam regatta,,,,,,,,,,,,223326,,,True
Ullman Sails Women’s Series,https://www.sailing.org.za/events/187158,2024-08-03,2024-08-03,>Ullman Sails Women’s Series,,,,,,,,,,,,187158,,,True
29er Nationals,https://www.sailing.org.za/events/240654,2024-08-09,2024-08-11,>29er Nationals,,,,,,,,,,,,240654,,,True
J22 Nationals,https://www.sailing.org.za/events/233771,2024-08-09,2024-08-11,>J22 Nationals,,,,,,,,,,,,233771,,,True
Regional Race Officer Workshop,https://www.sailing.org.za/events/235791,2024-08-13,2024-08-13,>Regional Race Officer Workshop,,,,,,,,,,,,235791,,,True
National Race Officer Workshop,https://www.sailing.org.za/events/235793,2024-08-13,2024-08-13,>National Race Officer Workshop,,,,,,,,,,,,235793,,,True
Shane&#039;s GBYC Gaul Regatta,https://www.sailing.org.za/events/187157,2024-08-16,2024-08-18,>Shane&#039;s GBYC Gaul Regatta,,,,,,,,,,,,187157,,,True
Ullman Sails Women’s Series,https://www.sailing.org.za/events/240555,2024-08-17,2024-08-17,>Ullman Sails Women’s Series,,,,,,,,,,,,240555,,,True
AGM2024 - SA Sailing,https://www.sailing.org.za/events/240569,2024-08-22,2024-08-22,>AGM2024 - SA Sailing,,,,,,,,,,,,240569,,,True
Dragon Flight 95 KZN Regional Championships,https://www.sailing.org.za/events/250539,2024-08-24,2024-08-25,>Dragon Flight 95 KZN Regional Championships,,,,,,,,,,,,250539,,,True
ORC DH Championships,https://www.sailing.org.za/events/240655,2024-08-24,2024-08-25,>ORC DH Championships,,,,,,,,,,,,240655,,,True
Lipton Challenge Cup,https://www.sailing.org.za/events/229824,2024-08-27,2024-08-31,>Lipton Challenge Cup,,,,,,,,,,,,229824,,,True
Controlled Event Status Application - Workshop,https://www.sailing.org.za/events/246654,2024-09-05,2024-09-05,>Controlled Event Status Application - Workshop,,,,,,,,,,,,246654,,,True
ZVYC Cape Classic,https://www.sailing.org.za/events/187159,2024-09-07,2024-09-08,>ZVYC Cape Classic,,,,,,,,,,,,187159,,,True
Bart&#039;s Bash,https://www.sailing.org.za/events/344434,2024-09-10,2024-09-15,>Bart&#039;s Bash,,,,,,,,,,,,344434,,,True
Bart&#039;s Bash,https://www.sailing.org.za/events/253623,2024-09-15,2024-09-15,>Bart&#039;s Bash,,,,,,,,,,,,253623,,,True
2024 HALCAT and DART 18 OPEN NATIONAL CHAMPIONSHIP,https://www.hmyc.org.za/events/239595,2024-09-21,2024-09-24,"target=""_blank""",,,,,,,,,,,,,www_hmyc_org_za,239595,True
