title,details_url,start_date,end_date,venue_text,category,host,location,address,nor_url,si_url,results_url,other_docs,description,contact,organiser,sas_event_id,external_host,external_event_id,is_past
TuziTekwini Ocean Race 2025,https://www.revolutionise.com.au/ksyc/events/287122,2025-06-13,2025-06-16,"target=""_blank""",,,,,,,,,,,,,revolutionise,287122,True
J22 CLASS NATIONAL CHAMPIONSHIPS 2025,https://www.sailing.org.za/events/286372,2025-06-14,2025-06-16,>J22 CLASS NATIONAL CHAMPIONSHIPS 2025,,,,,,,,,,,,286372,,,True
WC AGM &amp; Colours Awards,https://www.sailing.org.za/events/288394,2025-06-23,2025-06-23,>WC AGM &amp; Colours Awards,,,,,,,,,,,,288394,,,True
505  and F15 Regional Championships,https://www.sailing.org.za/events/253634,2025-06-27,2025-06-29,>505  and F15 Regional Championships,,,,,,,,,,,,253634,,,True
2025 SA Sailing NR AGM,https://www.sailing.org.za/events/298437,2025-06-28,2025-06-28,>2025 SA Sailing NR AGM,,,,,,,,,,,,298437,,,True
2025 SA Sailing GP AGM,https://www.sailing.org.za/events/298668,2025-06-30,2025-06-30,>2025 SA Sailing GP AGM,,,,,,,,,,,,298668,,,True
NW Dinghy Champs,https://www.sailing.org.za/events/283420,2025-07-05,2025-07-06,>NW Dinghy Champs,,,,,,,,,,,,283420,,,True
SA Sailing EC Agm,https://www.sailing.org.za/events/298671,2025-07-11,2025-07-11,>SA Sailing EC Agm,,,,,,,,,,,,298671,,,True
2025 ILCA Class KZN Regional Championship,https://www.laser.org.za/events/299785,2025-07-12,2025-07-13,"target=""_blank""",,,,,,,,,,,,,laser_org_za,299785,True
RCYC Youth Regatta,https://www.sailing.org.za/events/293413,2025-07-12,2025-07-12,>RCYC Youth Regatta,,,,,,,,,,,,293413,,,True
Shane&#039;s Gaul Regatta 2025,https://www.sailing.org.za/events/278537,2025-07-18,2025-07-20,>Shane&#039;s Gaul Regatta 2025,,,,,,,,,,,,278537,,,True
2025 Optimist &amp; Dabchick Regional Championship,https://www.sailing.org.za/events/300805,2025-07-19,2025-07-20,>2025 Optimist &amp; Dabchick Regional Championship,,,,,,,,,,,,300805,,,True
Stadt 23 FS Provincials,https://www.sailing.org.za/events/283421,2025-07-19,2025-07-20,>Stadt 23 FS Provincials,,,,,,,,,,,,283421,,,True
RCYC Ladies Race,https://www.sailing.org.za/events/293414,2025-08-02,2025-08-02,>RCYC Ladies Race,,,,,,,,,,,,293414,,,True
ORC Double Handed Nationals,https://www.sailing.org.za/events/293415,2025-08-23,2025-08-24,>ORC Double Handed Nationals,,,,,,,,,,,,293415,,,True
2025 Lipton Challenge Cup,https://www.sailing.org.za/events/293416,2025-08-25,2025-08-30,>2025 Lipton Challenge Cup,,,,,,,,,,,,293416,,,True
2025 SA Sailing National AGM,https://www.sailing.org.za/events/288037,2025-08-28,2025-08-28,>2025 SA Sailing National AGM,,,,,,,,,,,,288037,,,True
National Race Officers Workshop,https://www.sailing.org.za/events/299380,2025-09-04,2025-09-04,>National Race Officers Workshop,,,,,,,,,,,,299380,,,True
Dart 18 Nationals,https://www.sailing.org.za/events/306257,2025-09-05,2025-09-07,>Dart 18 Nationals,,,,,,,,,,,,306257,,,True
ILCA NR Regional Championships,https://www.laser.org.za/events/301649,2025-09-06,2025-09-07,"target=""_blank""",,,,,,,,,,,,,laser_org_za,301649,True
Admirals Regatta,https://www.sailing.org.za/events/278715,2025-09-06,2025-09-07,>Admirals Regatta,,,,,,,,,,,,278715,,,True
Gauteng Dinghy Champs,https://www.sailing.org.za/events/283422,2025-09-06,2025-09-07,>Gauteng Dinghy Champs,,,,,,,,,,,,283422,,,True
ZVYC Cape Classic,https://www.sailing.org.za/events/278716,2025-09-13,2025-09-14,>ZVYC Cape Classic,,,,,,,,,,,,278716,,,True
SA Sailing Instructors Course - Dinghy endorsement,https://www.sailing.org.za/events/310675,2025-09-19,2025-09-22,>SA Sailing Instructors Course - Dinghy endorsement,,,,,,,,,,,,310675,,,True
FBYC Spring Regatta,https://www.sailing.org.za/events/278717,2025-09-19,2025-09-21,>FBYC Spring Regatta,,,,,,,,,,,,278717,,,True
2025 Finn National Championships,https://www.sailing.org.za/events/294316,2025-09-24,2025-09-28,>2025 Finn National Championships,,,,,,,,,,,,294316,,,True
Hobie 16 Nationals,https://www.sailing.org.za/events/293424,2025-09-24,2025-09-27,>Hobie 16 Nationals,,,,,,,,,,,,293424,,,True
2025 Halcat National Championship,https://www.sailing.org.za/events/315076,2025-09-25,2025-09-27,>2025 Halcat National Championship,,,,,,,,,,,,315076,,,True
Agulas Race,https://www.sailing.org.za/events/278719,2025-09-26,2025-09-28,>Agulas Race,,,,,,,,,,,,278719,,,True
2025 DART 18 OPEN KZN REGIONAL CHAMPIONSHIPS,https://www.hmyc.org.za/events/303524,2025-09-27,2025-09-28,"target=""_blank""",,,,,,,,,,,,,www_hmyc_org_za,303524,True
420 Nationals,https://www.sailing.org.za/events/315656,2025-10-03,2025-10-05,>420 Nationals,,,,,,,,,,,,315656,,,True
EC Dinghy Champs,https://www.sailing.org.za/events/304543,2025-10-04,2025-10-06,>EC Dinghy Champs,,,,,,,,,,,,304543,,,True
KZNDSAC L2S Learn to Sail Level 1 KSYC,https://www.sailing.org.za/events/321945,2025-10-04,2025-10-05,>KZNDSAC L2S Learn to Sail Level 1 KSYC,,,,,,,,,,,,321945,,,True
KZNDSAC L2S Learn to Sail Level 2 KSYC,https://www.sailing.org.za/events/321954,2025-10-04,2025-10-05,>KZNDSAC L2S Learn to Sail Level 2 KSYC,,,,,,,,,,,,321954,,,True
SA Sailing Race Coach Training Program (basic coaching skill understanding),https://www.sailing.org.za/events/310368,2025-10-10,2025-10-12,>SA Sailing Race Coach Training Program (basic coaching skill understanding),,,,,,,,,,,,310368,,,True
DF95 WC Regional Champs,https://www.sailing.org.za/events/310303,2025-10-10,2025-10-12,>DF95 WC Regional Champs,,,,,,,,,,,,310303,,,True
STC Stadt 23 Ladies Training,https://www.sailing.org.za/events/293426,2025-10-11,2025-10-12,>STC Stadt 23 Ladies Training,,,,,,,,,,,,293426,,,True
The Canyon Cup 2025 ORC DH Nationals,https://www.sailing.org.za/events/283356,2025-10-14,2025-10-19,>The Canyon Cup 2025 ORC DH Nationals,,,,,,,,,,,,283356,,,True
2025 Eastern Cape Championship,https://www.sailing.org.za/events/318155,2025-10-17,2025-10-19,>2025 Eastern Cape Championship,,,,,,,,,,,,318155,,,True
IOM Nationals,https://www.sailing.org.za/events/321351,2025-10-18,2025-10-19,>IOM Nationals,,,,,,,,,,,,321351,,,True
STC Stadt 23 Ladies Champs,https://www.sailing.org.za/events/278722,2025-10-18,2025-10-19,>STC Stadt 23 Ladies Champs,,,,,,,,,,,,278722,,,True
Boskop Open Regatta 2025,https://www.revolutionise.com.au/boskopyc/events/315987,2025-10-25,2025-10-26,"target=""_blank""",,,,,,,,,,,,,revolutionise,315987,True
Ullman Sails Ladies Race,https://www.sailing.org.za/events/293425,2025-10-25,2025-10-25,>Ullman Sails Ladies Race,,,,,,,,,,,,293425,,,True
KZNDSAC L2S Learn to Sail Level 1 KSYC,https://www.sailing.org.za/events/327491,2025-11-01,2025-11-02,>KZNDSAC L2S Learn to Sail Level 1 KSYC,,,,,,,,,,,,327491,,,True
KZNDSAC L2S Learn to Sail Level 2 KSYC,https://www.sailing.org.za/events/327490,2025-11-08,2025-11-09,>KZNDSAC L2S Learn to Sail Level 2 KSYC,,,,,,,,,,,,327490,,,True
Seaport Supply West Coast Offshore,https://www.sailing.org.za/events/278723,2025-11-28,2025-11-29,>Seaport Supply West Coast Offshore,,,,,,,,,,,,278723,,,True
Cape 31 Performance Cup,https://www.sailing.org.za/events/278724,2025-11-29,2025-12-07,>Cape 31 Performance Cup,,,,,,,,,,,,278724,,,True
TSC Cape Classic,https://www.sailing.org.za/events/293428,2025-12-06,2025-12-07,>TSC Cape Classic,,,,,,,,,,,,293428,,,True
USSA Sailing Championships,https://www.sailing.org.za/events/293430,2025-12-10,2025-12-16,>USSA Sailing Championships,,,,,,,,,,,,293430,,,True
2025 Youth Sailing World Championships,https://www.sailing.org.za/events/320768,2025-12-12,2025-12-20,>2025 Youth Sailing World Championships,,,,,,,,,,,,320768,,,True
Hobie Robberg Regatta,https://www.sailing.org.za/events/278725,2025-12-13,2025-12-16,>Hobie Robberg Regatta,,,,,,,,,,,,278725,,,True
2025 SA Sailing Youth National Championship,https://www.sailing.org.za/events/269910,2025-12-14,2025-12-19,>2025 SA Sailing Youth National Championship,,,,,,,,,,,,269910,,,True
Stadt WC Champs,https://www.sailing.org.za/events/293429,2025-12-27,2025-12-30,>Stadt WC Champs,,,,,,,,,,,,293429,,,True
Cape2Rio 2025,https://www.sailing.org.za/events/250207,2025-12-27,2025-12-27,>Cape2Rio 2025,,,,,,,,,,,,250207,,,True
Pearly&#039;s Challenge,https://www.sailing.org.za/events/293431,2025-12-31,2025-12-31,>Pearly&#039;s Challenge,,,,,,,,,,,,293431,,,True
2026 Dragonflite 95 Eastern Cape Regional Championship,https://www.sailing.org.za/events/322613,2026-01-23,2026-01-25,>2026 Dragonflite 95 Eastern Cape Regional Championship,,,,,,,,,,,,322613,,,True
Port Owen River Race,https://www.sailing.org.za/events/282429,2026-01-24,2026-01-25,>Port Owen River Race,,,,,,,,,,,,282429,,,True
Gimco Regatta,https://www.sailing.org.za/events/293432,2026-01-30,2026-02-01,>Gimco Regatta,,,,,,,,,,,,293432,,,True
SA Sailing FS Team Sailing Clinic,https://www.sailing.org.za/events/328009,2026-01-31,2026-02-01,>SA Sailing FS Team Sailing Clinic,,,,,,,,,,,,328009,,,True
SA Sailing Grand Slam Regatta,https://www.hmyc.org.za/events/318694,2026-01-31,2026-02-01,"target=""_blank""",,,,,,,,,,,,,www_hmyc_org_za,318694,True
SA Sailing Pacer 27 Match Racing,https://www.sailing.org.za/events/344375,2026-02-14,2026-02-15,>SA Sailing Pacer 27 Match Racing,,,,,,,,,,,,344375,,,True
KYC Interclub,https://www.sailing.org.za/events/293437,2026-02-14,2026-02-15,>KYC Interclub,,,,,,,,,,,,293437,,,True
HYC Cape Classic,https://www.sailing.org.za/events/293434,2026-02-14,2026-02-15,>HYC Cape Classic,,,,,,,,,,,,293434,,,True
SA Sailing KZN Team Sailing Training Clinic,https://www.sailing.org.za/events/328008,2026-02-20,2026-02-22,>SA Sailing KZN Team Sailing Training Clinic,,,,,,,,,,,,328008,,,True
Hobie 14 WC Champs,https://www.sailing.org.za/events/293435,2026-02-21,2026-02-22,>Hobie 14 WC Champs,,,,,,,,,,,,293435,,,True
Mykonos Offshore,https://www.sailing.org.za/events/293436,2026-02-27,2026-02-28,>Mykonos Offshore,,,,,,,,,,,,293436,,,True
9/6 Hour Endurance Race,https://www.hmyc.org.za/events/318706,2026-03-07,2026-03-07,"target=""_blank""",,,,,,,,,,,,,www_hmyc_org_za,318706,True
