date,supplier,use,sku,description,qty,band,product_url,image_formula,status,notes
2026-09-15,Moko,Dev,LW014,Wearable / wrist panic button,20,EU868,https://store.mokosmart.com/product/lw014-lorawan-wearable-button/,=IMAGE("https://raw.githubusercontent.com/kevinweaving-ship-it/Cursor-Websites/cursor/china-orders-dev-whatsapp-098e/boat-puck/china-orders/images/lw014.png"),SEND PI,Richard 10 Sep qty 20
2026-09-15,Moko,Dev,LW013,Smart button,10,EU868,https://www.mokosmart.com/lw013-sb-lorawan-smart-button/,,SEND PI,Minimum 10
2026-09-15,Moko,Dev,LW006,Smart badge,4,EU868,https://store.mokosmart.com/product/lw006-sb-lorawan-smart-badge/,=IMAGE("https://raw.githubusercontent.com/kevinweaving-ship-it/Cursor-Websites/cursor/china-orders-dev-whatsapp-098e/boat-puck/china-orders/images/lw006.png"),SEND PI,Dev list
2026-09-15,Dragino,Farm,WSC2-L kit,LoRaWAN weather station kit,1,EU868,https://www.dragino.com/products/agriculture-weather-station/item/339-wsc2-l.html,"=IMAGE(""https://cdn.shopify.com/s/files/1/0724/0489/4032/files/dragino-wsc2-l-lorawan-main-process-unit-eu868-386231_2048x2048_d137778b-44ae-44ec-8583-c0406a53fa54.webp?v=1749033453"")",SEND PI,Ask for working kit/sensors
2026-09-15,Dragino,Farm,SE01-LB,Soil moisture and EC,1,EU868,https://www.dragino.com/products/agriculture-weather-station/item/277-se01-lb-ls.html,"=IMAGE(""https://cdn.shopify.com/s/files/1/0724/0489/4032/files/dragino-se01-lb-lorawan-soil-moisture-ec-sensor-eu868-872970_2048x2048_d4337f19-4386-4154-a613-8411d86194db.webp?v=1749029394"")",SEND PI,Richard SE01 / SE OX
2026-09-15,Dragino,Farm,SPH01-LB,Soil pH,1,EU868,https://www.dragino.com/products/agriculture-weather-station/item/279-sph01-lb.html,"=IMAGE(""https://cdn.shopify.com/s/files/1/0724/0489/4032/files/dragino-sph01-lb-lorawan-soil-ph-sensor-eu868-252684_2048x2048_b877404e-642e-40ac-9563-9fe866886029.webp?v=1749033800"")",SEND PI,
2026-09-15,Dragino,Farm,S31B-LB,Outdoor temperature and humidity,1,EU868,https://www.dragino.com/products/temperature-humidity-sensor/item/265-s31b-lb.html,"=IMAGE(""https://cdn.shopify.com/s/files/1/0724/0489/4032/files/dragino-lsn50v2-s31b-lorawan-outdoor-temperature-humidity-integrated-sensor-eu868-388500_2048x2048_b4dc242e-4654-42fe-b50c-4147dba6ac3b.webp?v=1749556327"")",SEND PI,Vineyard humidity — not S31-CB
2026-09-15,Dragino,Farm,LT-22222-L,LoRaWAN I/O controller,1,EU868,https://www.dragino.com/products/lora-lorawan-end-node/item/156-lt-22222-l.html,"=IMAGE(""https://cdn.shopify.com/s/files/1/0724/0489/4032/files/dragino-lt-22222-l-lorawan-io-controller-eu868-remote-control-monitoring-for-industrial-systems-726789_2048x2048_0bd94da1-86fe-4282-9e45-0fbc7d41f006.webp?v=1749557076"")",SEND PI,Valve + open/closed
2026-09-15,Dragino,Dev,LA66,LoRaWAN module,1,EU868,https://www.dragino.com/products/lora/item/230-la66-lorawan-module.html,"=IMAGE(""https://cdn.shopify.com/s/files/1/0724/0489/4032/files/dragino-la66-lorawan-module-eu868-compact-versatile-wireless-connectivity-for-iot-projects-330473_2048x2048_9cdd8f16-3b90-4e05-8c6f-46e48b30ab76.webp?v=1749556745"")",SEND PI,Develop
